all
11
3
2
9
6
0
0
4
3
2
1
6
0
0
1
1
3
2
1
0
0
1
2
5
6
8
0
0
6
9
4
3
6
0
0
13
7
4
0
6
0
0
11
37
25
41
36
0
0
27
35
28
43
46
0
0
61
90
90
81
71
0
0
39
63
57
76
72
0
0
72
74
73
83
0
0
0
51
76
86
78
87
0
0
80
101
86
97
96
0
66
50
0
0
0
0
0
0
0
48
58
92
72
46
0
63
58
92
62
55
0
0
64
96
96
101
32
0
0
42
26
43
79
81
0
0
48
68
54
49
59
0
0
53
79
67
56
61
0
0
40
58
74
55
55
0
0
49
73
60
70
56
0
0
62
48
50
41
63
0
0
39
56
43
48
40
0
0
38
54
63
76
71
0
0
52
68
96
69
65
0
0
27
30
0
49
55
0
0
69
49
82
69
49
0
0
76
47
49
58
58
0
35
38
15
4
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
1
0
0
0
0
0
3
2
1
2
6
0
0
10
22
13
10
23
0
0
20
16
13
21
26
0
0
17
22
12
23
20
0
0
37
37
31
24
54
0
0
59
58
56
67
65
0
0
48
70
62
48
38
0
0
0
43
54
50
58
0
0
71
77
65
41
38
0
0
51
50
42
53
50
0
30
46
61
36
58
0
0
0
2
0
4
6
13
6
0
9
9
13
18
11
0
0
20
30
11
19
10
0
0
15
22
14
15
20
0
0
8
17
19
32
25
0
0
21
22
27
25
19
0
0
21
12
6
6
18
0
0
16
12
24
0
0
0
17
17
25
12
10
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
